# stage 09   label CDM   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.13750872 conv 0.02203907 dm 0.84045221
# matter shot noise 3.05072516e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
9.145103926913346726e+00 4.622700000000000000e+04 1.059370040586905953e-01 2.675469188179391367e+01 7.335598253392308088e-01 7.530115628775342351e-01 8.676848865040687198e-01 1.169570978152091101e+00
9.252371702874153669e+00 4.690900000000000000e+04 1.032903542028146271e-01 2.657546098579555149e+01 7.214156143495760176e-01 7.411042714331640413e-01 8.573452552365562473e-01 1.148766328176590079e+00
9.359375681178327966e+00 4.823700000000000000e+04 9.997291501237315359e-02 2.615924903271916691e+01 7.023654505987173557e-01 7.221380794630049005e-01 8.391427188926410263e-01 1.116022641524609949e+00
9.465793465750969915e+00 4.858300000000000000e+04 9.729568872701210847e-02 2.607717998233350087e+01 6.907094591720304155e-01 7.108991875797903148e-01 8.303877105591441765e-01 1.094182199735936667e+00
9.572910082305408963e+00 5.099700000000000000e+04 9.550346162646000669e-02 2.602680044736899490e+01 6.837382859391243350e-01 7.042971888643669853e-01 8.261672528419047312e-01 1.086085548473636031e+00
9.680434637454967017e+00 5.139700000000000000e+04 9.284743050721488977e-02 2.556944957492417103e+01 6.640938920138005352e-01 6.847691051095756709e-01 8.075590431905043109e-01 1.052871508720833793e+00
9.787339808765013416e+00 5.248900000000000000e+04 9.060821079003182621e-02 2.554813262655558859e+01 6.565507699561813348e-01 6.775609819104065901e-01 8.024804239616245560e-01 1.040236229693893621e+00
9.894164228327143817e+00 5.378700000000000000e+04 8.814403419388384953e-02 2.528843526056106938e+01 6.421843855807777279e-01 6.633595185196423660e-01 7.894550848784154251e-01 1.014031231519623155e+00
1.000115662573597497e+01 5.491300000000000000e+04 8.585876857664744011e-02 2.507296575557282736e+01 6.300422385974920880e-01 6.514733419905857081e-01 7.792689794065789100e-01 9.956480033984803635e-01
1.010804251017453659e+01 5.597700000000000000e+04 8.380915324203509764e-02 2.481289779812865248e+01 6.164509679028030709e-01 6.380623253514210447e-01 7.672307781936767990e-01 9.723251906534988720e-01
1.021495224810368363e+01 5.741500000000000000e+04 8.184615628614698435e-02 2.475283489602123765e+01 6.090672813794931750e-01 6.308138884560248183e-01 7.610638582452072809e-01 9.573625268396985799e-01
1.032171118851497127e+01 5.810500000000000000e+04 7.950529755474435023e-02 2.427970221943605367e+01 5.921117397870923060e-01 6.138246034323397993e-01 7.440655846268733331e-01 9.311913719136666323e-01
1.042861194886108933e+01 6.003300000000000000e+04 7.737823877224220270e-02 2.423778416224068977e+01 5.835570626683682649e-01 6.056170748838968221e-01 7.381023157504069676e-01 9.161417507439171271e-01
1.053588333541564914e+01 6.094900000000000000e+04 7.577187010456346017e-02 2.400052507347456299e+01 5.730740229971034161e-01 5.952476296290913904e-01 7.287120542057592409e-01 9.007291278869782314e-01
1.064285623592383878e+01 6.223500000000000000e+04 7.349933587949171454e-02 2.392207973764469386e+01 5.638745187864697694e-01 5.863442507408469506e-01 7.218378937988304545e-01 8.852349633470351087e-01
