# stage 09   label FCT   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.08192983 conv 0.07761797 dm 0.84045221
# matter shot noise 3.08092773e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
9.894164228327143817e+00 5.378700000000000000e+04 1.027212067539902685e-01 2.673707313005941888e+00 8.532239137916406424e-01 8.570793656395442328e-01 8.809630336323188704e-01 4.425031448009831281e-01
1.000115662573597497e+01 5.491300000000000000e+04 1.002515142802460069e-01 2.650145983135441696e+00 8.409026832422424880e-01 8.450692912521393652e-01 8.706467875570942372e-01 4.343196792848248999e-01
1.010804251017453659e+01 5.597700000000000000e+04 9.771276883118527878e-02 2.613785592817954750e+00 8.252354442689801006e-01 8.296559588390595152e-01 8.566872562227921817e-01 4.249435015902458534e-01
1.021495224810368363e+01 5.741500000000000000e+04 9.531088929428385703e-02 2.596217846124923678e+00 8.153070956782475509e-01 8.199445430852897454e-01 8.481780930498789006e-01 4.175019793737075879e-01
1.032171118851497127e+01 5.810500000000000000e+04 9.355889179186827054e-02 2.553442172829909484e+00 7.988982636925365810e-01 8.038178945712656231e-01 8.335883087043465256e-01 4.094879702063612958e-01
1.042861194886108933e+01 6.003300000000000000e+04 9.060753120057916943e-02 2.517235615890385247e+00 7.831002430108239265e-01 7.881901511251716563e-01 8.189728927287494020e-01 3.989439612289946702e-01
1.053588333541564914e+01 6.094900000000000000e+04 8.874286407062838278e-02 2.500737640458404076e+00 7.742745263369057440e-01 7.795868385315452009e-01 8.116130162977545082e-01 3.930124286658565613e-01
1.064285623592383878e+01 6.223500000000000000e+04 8.694367764489606409e-02 2.486140803597082449e+00 7.654361139944951820e-01 7.711029027478005782e-01 8.051128774731998172e-01 3.878665304852492723e-01
1.074963172908667275e+01 6.322900000000000000e+04 8.483579463985785329e-02 2.466006733595110578e+00 7.549463601022928794e-01 7.608076832761110353e-01 7.958968973931918045e-01 3.800708123270971073e-01
1.085684856030880852e+01 6.513300000000000000e+04 8.290794037154508578e-02 2.447192275720965871e+00 7.446628826854184702e-01 7.508384274870166797e-01 7.876619536608944205e-01 3.735185013845763735e-01
1.096385787079884366e+01 6.570700000000000000e+04 8.173825454911159971e-02 2.437209558698699041e+00 7.388672931169258939e-01 7.452628958248787017e-01 7.833234600409378912e-01 3.701811767442870771e-01
1.107082191737946708e+01 6.756100000000000000e+04 7.971595987763259450e-02 2.417868484356310077e+00 7.288183479516786578e-01 7.354386766348438575e-01 7.747462997674101626e-01 3.632432264711348835e-01
1.117791035998506288e+01 6.850500000000000000e+04 7.756067132163804723e-02 2.375552197959709844e+00 7.130831916734761133e-01 7.198020793760701030e-01 7.597513853190729360e-01 3.544136060134924215e-01
1.128479869776746725e+01 6.994300000000000000e+04 7.612926106420467298e-02 2.368646922019556289e+00 7.078183321055540045e-01 7.147532041681862180e-01 7.559038726293715316e-01 3.507393513927195561e-01
1.139174321454733096e+01 7.109700000000000000e+04 7.445145166279847071e-02 2.343898232415903227e+00 6.968602547024099758e-01 7.039904341449019221e-01 7.462624651715686896e-01 3.440510525229880656e-01
1.149880450752246830e+01 7.302100000000000000e+04 7.313332351294897504e-02 2.323481393727459210e+00 6.870946851431435354e-01 6.945298389890018909e-01 7.385148199121559509e-01 3.389112796011825024e-01
1.160566245799083163e+01 7.331700000000000000e+04 7.136543147230584028e-02 2.306107411163637710e+00 6.778323636891953052e-01 6.855016485112015445e-01 7.308260550141825185e-01 3.326853641947211671e-01
1.171250628324384913e+01 7.579900000000000000e+04 6.954597804603576683e-02 2.279638773585786815e+00 6.671488128202122114e-01 6.749170048981967263e-01 7.208141334611100071e-01 3.261449686702562190e-01
1.181934119405252126e+01 7.602100000000000000e+04 6.853639304399244958e-02 2.268572551411753402e+00 6.616311680900774927e-01 6.694816077684339062e-01 7.158872829437846752e-01 3.220588110499396084e-01
1.192631111688620749e+01 7.875300000000000000e+04 6.686048400412097914e-02 2.253475912434527384e+00 6.534287813565332614e-01 6.615091798863789174e-01 7.092163483063467222e-01 3.167427556357497176e-01
1.203348273281565639e+01 7.929100000000000000e+04 6.519953965696553833e-02 2.232236720501942884e+00 6.437273500263369641e-01 6.519488474078487528e-01 7.005181373177861159e-01 3.102709254664877125e-01
1.214055985810916383e+01 8.112900000000000000e+04 6.407814675193715392e-02 2.197765012437547405e+00 6.318355298345816884e-01 6.401812986148500695e-01 6.894841968313127900e-01 3.051075195581911537e-01
1.224764581670525487e+01 8.244100000000000000e+04 6.312912414554380791e-02 2.207625594797286706e+00 6.305359796562490793e-01 6.392512494147143398e-01 6.906333708524401427e-01 3.032376004100885702e-01
1.235475955146996618e+01 8.394900000000000000e+04 6.164731929163119045e-02 2.171052790058828563e+00 6.175584057248469927e-01 6.263328303165078825e-01 6.780829115462124745e-01 2.962244109557557459e-01
